Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.390000,7.410000,7.315000,7.370000,6.186725,7727200
2017-01-04,7.425000,7.610000,7.425000,7.565000,6.350417,12092200
2017-01-05,7.525000,7.555000,7.475000,7.510000,6.304247,11927400
2017-01-06,7.355000,7.430000,7.230000,7.410000,6.220301,27104200
2017-01-09,7.355000,7.520000,7.340000,7.480000,6.279063,19123800
2017-01-10,7.405000,7.480000,7.385000,7.390000,6.203514,22058600
2017-01-11,7.400000,7.610000,7.390000,7.595000,6.375600,25168000
2017-01-12,7.650000,7.690000,7.545000,7.625000,6.400783,12858600
2017-01-13,7.385000,7.430000,7.100000,7.250000,6.085990,36469000
2017-01-17,7.220000,7.265000,7.195000,7.245000,6.081792,13426000
2017-01-18,7.250000,7.265000,7.195000,7.220000,6.060806,14859200
2017-01-19,7.230000,7.255000,7.170000,7.195000,6.039821,8517600
2017-01-20,7.170000,7.210000,7.130000,7.180000,6.027230,7235200
2017-01-23,7.175000,7.185000,7.040000,7.045000,5.913904,25697000
2017-01-24,7.075000,7.110000,7.010000,7.060000,5.926496,15134800
2017-01-25,7.070000,7.090000,6.970000,7.000000,5.876129,22564600
2017-01-26,7.005000,7.010000,6.880000,6.895000,5.787987,15098000
2017-01-27,6.980000,7.045000,6.940000,6.970000,5.850944,22787000
2017-01-30,7.020000,7.055000,6.885000,6.905000,5.796382,23176200
2017-01-31,6.840000,6.895000,6.790000,6.885000,5.779593,17932600
2017-02-01,6.975000,7.000000,6.710000,6.795000,5.704042,26133200
2017-02-02,6.955000,6.975000,6.850000,6.875000,5.771198,32758800
2017-02-03,6.895000,6.960000,6.895000,6.940000,5.825761,9092800
2017-02-06,6.940000,6.990000,6.900000,6.925000,5.813170,14134200
2017-02-07,6.975000,7.065000,6.965000,7.035000,5.905510,19453800
2017-02-08,7.020000,7.065000,6.935000,7.055000,5.922298,17344200
2017-02-09,7.055000,7.325000,7.055000,7.285000,6.115371,25719000
2017-02-10,7.290000,7.340000,7.245000,7.250000,6.085990,14656200
2017-02-13,7.365000,7.375000,7.310000,7.325000,6.148949,14538200
2017-02-14,7.380000,7.480000,7.350000,7.455000,6.258077,18193800
2017-02-15,7.440000,7.505000,7.425000,7.430000,6.237092,11984200
2017-02-16,7.585000,7.620000,7.475000,7.495000,6.291655,8537600
2017-02-17,7.460000,7.490000,7.430000,7.440000,6.245485,5701600
2017-02-21,7.545000,7.645000,7.535000,7.645000,6.417571,14907200
2017-02-22,7.490000,7.585000,7.475000,7.520000,6.312641,16588600
2017-02-23,7.610000,7.650000,7.585000,7.595000,6.375600,9339600
2017-02-24,7.550000,7.605000,7.520000,7.605000,6.383994,6828000
2017-02-27,7.620000,7.625000,7.570000,7.605000,6.383994,8431000
2017-02-28,7.635000,7.645000,7.565000,7.570000,6.354614,9542800
2017-03-01,7.695000,7.695000,7.625000,7.680000,6.446953,10635400
2017-03-02,7.605000,7.680000,7.575000,7.640000,6.413374,7129800
2017-03-03,7.690000,7.735000,7.640000,7.690000,6.455348,8735000
2017-03-06,7.650000,7.685000,7.540000,7.580000,6.363008,16881200
2017-03-07,7.560000,7.585000,7.480000,7.515000,6.308444,22414000
2017-03-08,7.500000,7.545000,7.465000,7.485000,6.283261,11346400
2017-03-09,7.520000,7.615000,7.470000,7.610000,6.388191,15575400
2017-03-10,7.640000,7.755000,7.635000,7.750000,6.505714,11079600
2017-03-13,7.815000,7.840000,7.755000,7.795000,6.543489,13620600
2017-03-14,7.795000,7.805000,7.720000,7.780000,6.530897,10022200
2017-03-15,7.690000,7.735000,7.610000,7.705000,6.467938,8853200
2017-03-16,7.860000,7.955000,7.810000,7.885000,6.619039,17432200
2017-03-17,7.900000,7.915000,7.625000,7.670000,6.438559,31497800
2017-03-20,7.750000,7.805000,7.675000,7.755000,6.509912,13356800
2017-03-21,7.830000,7.885000,7.750000,7.765000,6.518306,12263000
2017-03-22,7.780000,7.830000,7.740000,7.825000,6.568672,8018000
2017-03-23,7.855000,7.925000,7.840000,7.855000,6.593857,9512000
2017-03-24,7.835000,7.890000,7.820000,7.835000,6.577066,8074600
2017-03-27,7.875000,7.880000,7.815000,7.875000,6.610645,7182800
2017-03-28,7.875000,7.895000,7.810000,7.860000,6.598053,8981400
2017-03-29,7.875000,7.925000,7.845000,7.900000,6.631631,8093000
2017-03-30,7.865000,7.910000,7.860000,7.900000,6.631631,8073000
2017-03-31,7.855000,7.960000,7.830000,7.900000,6.631631,8196000
2017-04-03,7.865000,7.885000,7.680000,7.735000,6.493122,14728000
